"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Siilinjärvi Kuopio airport","2000","11","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","11","26","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","11","27","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","11","28","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","11","29","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","11","30","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","1","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","2","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2000","12","3","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","4","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","5","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","6","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","7","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","8","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","9","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","10","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","12","12","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","13","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","14","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","16","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","17","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","18","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","19","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","20","00:00","-"
"Siilinjärvi Kuopio airport","2000","12","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","12","22","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","23","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","12","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","26","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2000","12","27","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2000","12","28","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2000","12","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2000","12","30","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2000","12","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2001","1","1","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2001","1","2","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2001","1","3","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2001","1","4","00:00","Cloudy (8/8)"
