Cloud_value,Snow depth [cm],Solar Radiation (kW-hr/m^2/day),Average temperature [°C],Date,Ski Center Name,Latitude
8.0,104.0,1.88,-2.3,2010-03-31,Kommattivaara,66.5
7.0,101.0,1.49,-0.7,2010-04-01,Kommattivaara,66.5
7.0,96.0,2.29,3.5,2010-04-02,Kommattivaara,66.5
7.0,88.0,2.98,1.4,2010-04-03,Kommattivaara,66.5
8.0,82.0,1.49,1.9,2010-04-04,Kommattivaara,66.5
8.0,78.0,1.05,0.5,2010-04-05,Kommattivaara,66.5
8.0,75.0,1.63,0.3,2010-04-06,Kommattivaara,66.5
7.0,73.0,1.41,1.3,2010-04-07,Kommattivaara,66.5
8.0,72.0,2.99,0.5,2010-04-08,Kommattivaara,66.5
8.0,71.0,1.98,1.2,2010-04-09,Kommattivaara,66.5
8.0,69.0,1.85,1.9,2010-04-10,Kommattivaara,66.5
8.0,66.0,2.59,3.0,2010-04-11,Kommattivaara,66.5
7.0,62.0,3.2,4.3,2010-04-12,Kommattivaara,66.5
8.0,59.0,3.64,0.9,2010-04-13,Kommattivaara,66.5
5.0,55.0,3.95,-0.9,2010-04-14,Kommattivaara,66.5
7.0,56.0,4.29,2.1,2010-04-15,Kommattivaara,66.5
8.0,53.0,3.65,0.5,2010-04-16,Kommattivaara,66.5
7.0,51.0,4.99,-1.4,2010-04-17,Kommattivaara,66.5
7.0,52.0,3.95,-1.9,2010-04-18,Kommattivaara,66.5
7.0,52.0,5.43,-3.5,2010-04-19,Kommattivaara,66.5
3.0,52.0,4.15,-3.1,2010-04-20,Kommattivaara,66.5
7.0,50.0,4.79,0.6,2010-04-21,Kommattivaara,66.5
0.0,49.0,5.1,0.9,2010-04-22,Kommattivaara,66.5
7.0,49.0,3.55,-1.1,2010-04-23,Kommattivaara,66.5
8.0,50.0,4.63,-2.2,2010-04-24,Kommattivaara,66.5
7.0,48.0,4.97,-3.9,2010-04-25,Kommattivaara,66.5
1.0,47.0,4.63,0.4,2010-04-26,Kommattivaara,66.5
7.0,46.0,5.65,2.4,2010-04-27,Kommattivaara,66.5
5.0,45.0,4.6,0.2,2010-04-28,Kommattivaara,66.5
8.0,44.0,5.55,-0.9,2010-04-29,Kommattivaara,66.5
0.0,45.0,5.73,-1.5,2010-04-30,Kommattivaara,66.5
9.0,47.0,5.14,1.3,2010-05-01,Kommattivaara,66.5
7.0,44.0,2.12,2.0,2010-05-02,Kommattivaara,66.5
8.0,42.0,3.07,0.8,2010-05-03,Kommattivaara,66.5
1.0,40.0,6.52,0.8,2010-05-04,Kommattivaara,66.5
5.0,40.0,6.35,-0.7,2010-05-05,Kommattivaara,66.5
8.0,41.0,5.53,-2.1,2010-05-06,Kommattivaara,66.5
7.0,40.0,6.74,-0.2,2010-05-07,Kommattivaara,66.5
0.0,39.0,6.56,3.2,2010-05-08,Kommattivaara,66.5
7.0,36.0,5.64,0.7,2010-05-09,Kommattivaara,66.5
8.0,36.0,4.7,1.6,2010-05-10,Kommattivaara,66.5
8.0,33.0,3.53,5.0,2010-05-11,Kommattivaara,66.5
7.0,29.0,2.06,2.8,2010-05-12,Kommattivaara,66.5
8.0,27.0,5.22,6.7,2010-05-13,Kommattivaara,66.5
5.0,15.0,4.11,9.8,2010-05-14,Kommattivaara,66.5
0.0,4.0,5.9,13.1,2010-05-15,Kommattivaara,66.5
0.0,-1.0,5.7,14.8,2010-05-16,Kommattivaara,66.5
0.0,-1.0,6.7,16.5,2010-05-17,Kommattivaara,66.5
0.0,-1.0,6.58,13.7,2010-05-18,Kommattivaara,66.5
0.0,-1.0,6.13,7.8,2010-05-19,Kommattivaara,66.5
8.0,-1.0,5.84,10.0,2010-05-20,Kommattivaara,66.5
7.0,-1.0,3.67,5.9,2010-05-21,Kommattivaara,66.5
7.0,-1.0,4.57,7.7,2010-05-22,Kommattivaara,66.5
7.0,-1.0,2.45,7.2,2010-05-23,Kommattivaara,66.5
8.0,-1.0,2.23,7.4,2010-05-24,Kommattivaara,66.5
1.0,-1.0,2.63,10.5,2010-05-25,Kommattivaara,66.5
7.0,-1.0,5.86,6.3,2010-05-26,Kommattivaara,66.5
0.0,-1.0,7.68,6.3,2010-05-27,Kommattivaara,66.5
0.0,-1.0,7.06,6.9,2010-05-28,Kommattivaara,66.5
0.0,-1.0,4.67,7.7,2010-05-29,Kommattivaara,66.5
8.0,-1.0,4.96,9.6,2010-05-30,Kommattivaara,66.5
7.0,-1.0,4.43,9.3,2010-05-31,Kommattivaara,66.5
1.0,-1.0,6.55,6.3,2010-06-01,Kommattivaara,66.5
0.0,-1.0,7.36,11.0,2010-06-02,Kommattivaara,66.5
1.0,-1.0,4.03,11.4,2010-06-03,Kommattivaara,66.5
8.0,-1.0,2.88,6.0,2010-06-04,Kommattivaara,66.5
7.0,-1.0,5.05,4.3,2010-06-05,Kommattivaara,66.5
7.0,-1.0,3.68,4.5,2010-06-06,Kommattivaara,66.5
7.0,-1.0,4.99,5.5,2010-06-07,Kommattivaara,66.5
0.0,-1.0,5.61,4.8,2010-06-08,Kommattivaara,66.5
0.0,-1.0,5.58,8.4,2010-06-09,Kommattivaara,66.5
7.0,-1.0,5.7,7.8,2010-06-10,Kommattivaara,66.5
7.0,-1.0,5.21,8.4,2010-06-11,Kommattivaara,66.5
8.0,-1.0,7.84,10.1,2010-06-12,Kommattivaara,66.5
0.0,-1.0,8.36,7.2,2010-06-13,Kommattivaara,66.5
0.0,-1.0,6.18,7.2,2010-06-14,Kommattivaara,66.5
7.0,-1.0,5.0,7.6,2010-06-15,Kommattivaara,66.5
7.0,-1.0,5.18,9.0,2010-06-16,Kommattivaara,66.5
7.0,-1.0,4.98,11.4,2010-06-17,Kommattivaara,66.5
1.0,-1.0,5.18,12.7,2010-06-18,Kommattivaara,66.5
8.0,-1.0,4.66,14.1,2010-06-19,Kommattivaara,66.5
7.0,-1.0,3.14,13.8,2010-06-20,Kommattivaara,66.5
7.0,-1.0,4.79,9.1,2010-06-21,Kommattivaara,66.5
7.0,-1.0,7.36,10.6,2010-06-22,Kommattivaara,66.5
3.0,-1.0,4.62,9.8,2010-06-23,Kommattivaara,66.5
7.0,-1.0,5.23,12.7,2010-06-24,Kommattivaara,66.5
0.0,-1.0,7.5,16.8,2010-06-25,Kommattivaara,66.5
1.0,-1.0,3.39,13.7,2010-06-26,Kommattivaara,66.5
7.0,-1.0,4.06,9.8,2010-06-27,Kommattivaara,66.5
8.0,-1.0,4.1,8.3,2010-06-28,Kommattivaara,66.5
7.0,-1.0,6.6,10.8,2010-06-29,Kommattivaara,66.5
7.0,-1.0,3.46,14.8,2010-06-30,Kommattivaara,66.5
7.0,-1.0,3.77,13.7,2010-07-01,Kommattivaara,66.5
8.0,-1.0,3.52,7.3,2010-07-02,Kommattivaara,66.5
