"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Sotkamo Kuolaniemi","2010","6","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","9","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","23","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","6","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","5","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","9","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","23","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","7","31","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","5","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","9","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","23","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","8","31","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","5","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","9","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","10","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","11","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","12","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","13","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","14","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","15","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","16","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","17","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","18","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","19","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","20","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","21","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","22","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","23","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","24","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","25","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","26","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","27","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","28","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","29","03:00","-1"
"Sotkamo Kuolaniemi","2010","9","30","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","1","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","2","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","3","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","4","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","5","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","6","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","7","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","8","03:00","-1"
"Sotkamo Kuolaniemi","2010","10","9","03:00","-1"
