"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Oulu Oulunsalo Pellonpää","2021","9","3","00:00","Partly cloudy (5/8)"
"Oulu Oulunsalo Pellonpää","2021","9","4","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","5","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","6","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","7","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","9","8","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","9","00:00","Partly cloudy (4/8)"
"Oulu Oulunsalo Pellonpää","2021","9","10","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","11","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","12","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","13","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","14","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","15","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","16","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","17","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","18","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","19","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","20","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","21","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","22","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","23","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","24","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","9","25","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","26","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","9","27","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","28","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","29","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","9","30","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","1","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","2","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","10","3","00:00","Mostly clear (3/8)"
"Oulu Oulunsalo Pellonpää","2021","10","4","00:00","Mostly clear (2/8)"
"Oulu Oulunsalo Pellonpää","2021","10","5","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","6","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","7","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","8","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","10","9","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","10","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","11","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","12","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","10","13","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","14","00:00","Clear (0/8)"
"Oulu Oulunsalo Pellonpää","2021","10","15","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","16","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","17","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","18","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","19","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","20","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","10","21","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","22","00:00","Mostly cloudy (7/8)"
"Oulu Oulunsalo Pellonpää","2021","10","23","00:00","Cloudy (8/8)"
"Oulu Oulunsalo Pellonpää","2021","10","24","00:00","Clear (0/8)"
